"order_id","product_id","order_item_id","seller_id","shipping_limit_date","price","freight_value","customer_id"
"0011d82c4b53e22e84023405fb467e57","c389f712c4b4510bc997cee93e8b1a28",1,"bfd27a966d91cfaafdb25d076585f0da","2018-01-29 21:51:25",289,26.33,"2013d892495e1a101d742d533d2d1119"
"003324c70b19a16798817b2b3640e721","2b939dc9b176d7fa21594d588815d4a4",2,"dbc22125167c298ef99da25668e1011f","2017-05-24 19:22:34",102.9,14.45,"43696894b5bf8fbe1a40b2148ea505a0"
"003324c70b19a16798817b2b3640e721","2b939dc9b176d7fa21594d588815d4a4",1,"dbc22125167c298ef99da25668e1011f","2017-05-24 19:22:34",102.9,14.45,"43696894b5bf8fbe1a40b2148ea505a0"
"010fadb12341d8253d920362fc8f7a16","8d7ab3701456fdbfe2526636ce15327a",1,"daeb5653dd96c1b11860f72209795012","2018-02-15 17:35:37",39.9,14.1,"135bbed7ce32647898c18ba5907cb80a"
"012d8cbea490e6102cee6a2088aaa785","aede48631330269f65a8d680de491657",1,"dbc22125167c298ef99da25668e1011f","2017-10-25 21:27:58",83.9,28.99,"9143de688296ba2531bed7883a7f31c2"
"012dc9e42da722d22e32c618a2521bec","5637032095493f280eae8d9da00da6f1",1,"f262cbc1c910c83959f849465454ddd3","2018-04-10 14:30:20",49.99,8.88,"90de167c37925320a60cc9f4cc750117"
"019b02e139cfcd97f93366f7a38f5695","f71973c922ccaab05514a36a8bc741b8",1,"5dceca129747e92ff8ef7a997dc4f8ca","2017-04-06 17:02:31",109.9,24.05,"82a6cf90eef165080973fec6d6dc8910"
"01a4ec962d7589584c11650ca20d728b","18692fdc7adb29c885d8cb84eb68a97e",2,"aaed1309374718fdd995ee4c58c9dfcd","2017-05-25 17:50:20",187.2,20.54,"430ae219c180fc664c3981c91fd7f70e"
"01a4ec962d7589584c11650ca20d728b","84bc1370758fa98d08afd0180818217a",1,"a3a38f4affed601eb87a97788c949667","2017-05-25 17:50:20",199.9,13.69,"430ae219c180fc664c3981c91fd7f70e"
"01cbdb2a8c075eaf248af643b3389f73","2b939dc9b176d7fa21594d588815d4a4",1,"dbc22125167c298ef99da25668e1011f","2017-07-13 21:30:16",106.9,38.3,"7fbb5f4108715c74461dfab031ea62bc"
"01f5bb59c4e3a373ee5cade4e69ae92f","d9d5e3c7a8d24dfb8968ba75e4313ac3",1,"dbc22125167c298ef99da25668e1011f","2018-03-23 12:10:24",41.95,14.43,"24c7cad158eb1baa048288b63c1d6085"
"021288ce4f15c031270df5259df1b551","30ccf4724f5227265f837e9ba0246278",1,"dbc22125167c298ef99da25668e1011f","2017-12-12 02:50:29",83.9,28.99,"e0588a026f187e4f6ec5cb1ae92380f6"
"0240111ef6f94ee97599bd002acec1cd","1e291c0c369924c39765c90de669e4b4",1,"2a84855fd20af891be03bc5924d2b453","2018-06-26 18:55:35",149,74.99,"71d768f0401c468141199473dc548df4"
"028587d8834cae89e572f1db671d0419","c7b3cf9de7be95b3e09e7a63315685eb",1,"5dceca129747e92ff8ef7a997dc4f8ca","2017-08-31 11:35:18",99.9,23.57,"eb44fe0ac99d141cdadb412aebdc57a0"
"02870408b4c4492b036a48140f2092ed","c977ac034427790e883ab55f4baa68c2",1,"7142540dd4c91e2237acb7e911c4eba2","2018-02-06 13:47:46",84.9,17.84,"1d50170cec4905b52a53fc43cf2eb0f7"
"02e8498a91ec0e72dfaff47b27c805a3","76f4d017416dbf316f05abe3a1aa04df",1,"7142540dd4c91e2237acb7e911c4eba2","2017-11-21 07:30:31",84.9,17.84,"c4866f0b17eceb1322854c023648a596"
"03350e641d4d30d50b38c2e3030cd394","06f756df8d80309915285f3ee6ea1059",1,"b1a81260566c1bac3114a6d124413f27","2018-08-08 23:05:10",129.9,24.06,"ef14d93cbf59599d4a12cec56b1962b1"
"0343fa2096b6d04743321f9b9f62c1e0","dd12801e4d1919e84bf6f90167f22fb5",1,"b499c00f28f4b7069ff6550af8c1348a","2018-09-03 09:55:13",44.99,8.49,"24a982bba67ae6828be5c20e4b24dbf7"
"0343fa2096b6d04743321f9b9f62c1e0","bc0d2d816d425e6ce3e80d8b9887d324",2,"b499c00f28f4b7069ff6550af8c1348a","2018-09-03 09:55:13",49.99,8.49,"24a982bba67ae6828be5c20e4b24dbf7"
"035201c3c82a97f8a25dd6bd5244b2d5","1c36a5285f7f3b1ed2637d7c528ce5ff",1,"d1b65fc7debc3361ea86b5f14c68d2e2","2017-11-22 04:30:29",89.99,45.09,"9facbfd2dd51a45404d58154b12ed2dd"
"03572de4ee0598b00c48f6de965fcf78","e303dfa61ada1f0823b4775f192606b3",1,"058cb5aeb36d7c0fcae20fc85d5e0a59","2018-08-01 14:04:22",148.5,165.32,"bcd0281b473e8ed4e0a1e37d73e059f6"
"036ea72a17833a6fbbcd3e4df8250292","6401d2f82d6e6c52998ce626fe4eda24",1,"835f0f7810c76831d6c7d24c7a646d4d","2017-09-12 06:24:16",69.9,15.24,"c805f98a53f91cc2794ca2402fde6cd4"
"03952349aca310eeba691019501388de","47fc9ac35ea613a0fc62033750123d2f",1,"7142540dd4c91e2237acb7e911c4eba2","2017-09-18 02:35:53",84.9,17.84,"94244564d138d5b05de63ad1c686d9f6"
"03976e284ff273b3e5fda450030f32c1","242edc6b84c00f0d48c664a020a92c52",1,"6cd68b3ed6d59aaa9fece558ad360c0a","2017-09-11 14:43:50",54.9,13.4,"3231b7b6490bd2824ec83d8b883442a3"
"04711aafa1156335ba1ea7f6f7b7daef","c45f017c36f9112a8bb4f170edfb1870",1,"dbc22125167c298ef99da25668e1011f","2017-11-13 04:31:34",84.9,14.32,"fac293f9f6919969f4172b0bd1dc3c42"
"04af00b2ad7756ba45549af1e832d8da","85d187257cdbf2692d10649a11c7e78b",1,"7ddcbb64b5bc1ef36ca8c151f6ec77df","2017-12-13 03:16:39",134.99,13.5,"01d7603b563bc426e2eda5e0677e714b"
"04b7bd5687bbcc2087d9af68fe7302b3","83fb75d581e85667440635bdd314c645",1,"dbc22125167c298ef99da25668e1011f","2018-04-02 03:49:31",76.89,15.39,"e25fd5064e602530991d1f6482e642f1"
"04e4230edda7cee2d7656643461d47e7","c7b3cf9de7be95b3e09e7a63315685eb",1,"5dceca129747e92ff8ef7a997dc4f8ca","2017-06-06 17:45:13",79.9,21.05,"f5dae6958e7424376b81b4a16284b98b"
"04f6cdae6a85ade2864cd5fc811fb9ba","bae8ac5e125a98fe445bc17714104709",1,"655220df33262c7e0c4949a147366f94","2018-05-18 11:58:42",139,41.02,"fcbd7b0353381303b9fc5b486f398838"
"04f6cdae6a85ade2864cd5fc811fb9ba","bae8ac5e125a98fe445bc17714104709",2,"655220df33262c7e0c4949a147366f94","2018-05-18 11:58:42",139,41.02,"fcbd7b0353381303b9fc5b486f398838"
"04f6cdae6a85ade2864cd5fc811fb9ba","bae8ac5e125a98fe445bc17714104709",3,"655220df33262c7e0c4949a147366f94","2018-05-18 11:58:42",139,41.02,"fcbd7b0353381303b9fc5b486f398838"
"04fb47576993a3cb0c12d4b25eab6e4e","af51d485dc5255ba2e18b21b550156e6",1,"5dceca129747e92ff8ef7a997dc4f8ca","2017-05-31 13:10:17",259.9,41.77,"c158fb97a12041c9305718081a78b064"
"0508768342a863478ca21854a6ac2869","5adc6c464f33f8560dd3c984291d4ba1",1,"0be8ff43f22e456b4e0371b2245e4d01","2018-01-11 17:56:19",99.9,16.46,"1eaeea5f98120089f4f67fc088e4507a"
"05a9d9ce2b1a217223ff7c5a60e509b2","f0bbc1bdaf90ddcab4aa862660dfc6d3",1,"f262cbc1c910c83959f849465454ddd3","2018-01-14 23:08:27",19.99,9.34,"cb4057b44a4efe80ba3db6417f1a3ce8"
"05aacaaec38544ee11d42a69bc098d4b","edb0a8739ce7457ff4767a85d6aa92e2",1,"cb32766839f443db85c82a43c4a6c19e","2017-03-02 16:22:10",115,16.51,"f197e640b7b1d41432cb8d8981d8a763"
